Date,Name,Transaction,Event,Units
31-10-2019,YESBANK.NS,Close,Sell,38131
31-10-2019,LAURUSLABS.NS,Close,Buy,34481
01-11-2019,LAURUSLABS.NS,Open,Sell,34481
01-11-2019,SAIL.BO,Open,Buy,72654
01-11-2019,SAIL.BO,Close,Sell,72654
04-11-2019,YESBANK.NS,Open,Buy,44901
04-11-2019,YESBANK.NS,Close,Sell,44901
04-11-2019,YESBANK.NS,Close,Buy,42656
05-11-2019,YESBANK.NS,Open,Sell,42656
15-11-2019,BHARTIARTL.NS,Open,Buy,7960
15-11-2019,BHARTIARTL.NS,Close,Sell,7960
20-11-2019,YESBANK.NS,Open,Buy,47867
20-11-2019,YESBANK.NS,Close,Sell,47867
22-11-2019,SAIL.BO,Open,Buy,82720
22-11-2019,SAIL.BO,Close,Sell,82720
25-11-2019,BHARTIARTL.NS,Open,Buy,7208
25-11-2019,BHARTIARTL.NS,Close,Sell,7208
26-11-2019,YESBANK.NS,Close,Buy,48950
27-11-2019,YESBANK.NS,Open,Sell,48950
29-11-2019,BHARTIARTL.NS,Close,Buy,7157
02-12-2019,BHARTIARTL.NS,Open,Sell,7157
04-12-2019,YESBANK.NS,Open,Buy,54716
04-12-2019,YESBANK.NS,Close,Sell,54716
12-12-2019,TATAMOTORS.NS,Open,Buy,20035
12-12-2019,TATAMOTORS.NS,Close,Sell,20035
19-12-2019,YESBANK.NS,Open,Buy,71727
19-12-2019,YESBANK.NS,Close,Sell,71727
02-01-2020,SAIL.BO,Open,Buy,77278
02-01-2020,SAIL.BO,Close,Sell,77278
23-01-2020,YESBANK.NS,Open,Buy,89982
23-01-2020,YESBANK.NS,Close,Sell,89982
27-01-2020,DRREDDY.NS,Open,Buy,1155
27-01-2020,DRREDDY.NS,Close,Sell,1155
30-01-2020,LAURUSLABS.NS,Close,Buy,40180
31-01-2020,LAURUSLABS.NS,Open,Sell,40180
05-02-2020,TATAMOTORS.NS,Open,Buy,20973
05-02-2020,TATAMOTORS.NS,Close,Sell,20973
04-03-2020,JSWENERGY.BO,Close,Buy,67737
05-03-2020,JSWENERGY.BO,Open,Sell,67737
05-03-2020,YESBANK.NS,Open,Buy,124542
05-03-2020,YESBANK.NS,Close,Sell,124542
06-03-2020,SAIL.BO,Open,Buy,140000
06-03-2020,SAIL.BO,Close,Sell,140000
06-03-2020,YESBANK.NS,Close,Buy,271353
09-03-2020,YESBANK.NS,Open,Sell,271353
09-03-2020,YESBANK.NS,Open,Buy,257785
09-03-2020,YESBANK.NS,Close,Sell,257785
09-03-2020,YESBANK.NS,Close,Buy,244896
11-03-2020,YESBANK.NS,Open,Sell,244896
11-03-2020,YESBANK.NS,Open,Buy,232651
11-03-2020,YESBANK.NS,Close,Sell,232651
13-03-2020,SAIL.BO,Open,Buy,268014
13-03-2020,SAIL.BO,Close,Sell,268014
16-03-2020,YESBANK.NS,Open,Buy,280837
16-03-2020,YESBANK.NS,Close,Sell,280837
16-03-2020,YESBANK.NS,Close,Buy,266795
17-03-2020,YESBANK.NS,Open,Sell,266795
17-03-2020,YESBANK.NS,Open,Buy,253455
17-03-2020,YESBANK.NS,Close,Sell,253455
17-03-2020,YESBANK.NS,Close,Buy,240782
18-03-2020,YESBANK.NS,Open,Sell,240782
19-03-2020,BHARTIARTL.NS,Open,Buy,35427
19-03-2020,BHARTIARTL.NS,Close,Sell,35427
19-03-2020,YESBANK.NS,Close,Buy,277971
20-03-2020,YESBANK.NS,Open,Sell,277971
20-03-2020,DRREDDY.NS,Open,Buy,5919
20-03-2020,DRREDDY.NS,Close,Sell,5919
23-03-2020,GSPL.NS,Open,Buy,107328
23-03-2020,GSPL.NS,Close,Sell,107328
23-03-2020,YESBANK.NS,Close,Buy,424904
24-03-2020,YESBANK.NS,Open,Sell,424904
24-03-2020,JSWENERGY.BO,Open,Buy,400448
24-03-2020,JSWENERGY.BO,Close,Sell,400448
24-03-2020,JSWENERGY.BO,Close,Buy,380425
25-03-2020,JSWENERGY.BO,Open,Sell,380425
25-03-2020,RELIANCE.NS,Open,Buy,18813
25-03-2020,RELIANCE.NS,Close,Sell,18813
26-03-2020,BHARTIARTL.NS,Open,Buy,44925
26-03-2020,BHARTIARTL.NS,Close,Sell,44925
26-03-2020,YESBANK.NS,Close,Buy,755232
27-03-2020,YESBANK.NS,Open,Sell,755232
31-03-2020,SAIL.BO,Open,Buy,992501
31-03-2020,SAIL.BO,Close,Sell,992501
01-04-2020,YESBANK.NS,Open,Buy,987877
01-04-2020,YESBANK.NS,Close,Sell,987877
03-04-2020,LAURUSLABS.NS,Close,Buy,328462
07-04-2020,LAURUSLABS.NS,Open,Sell,328462
07-04-2020,DRREDDY.NS,Open,Buy,7200
07-04-2020,DRREDDY.NS,Close,Sell,7200
09-04-2020,TATAMOTORS.NS,Open,Buy,352184
09-04-2020,TATAMOTORS.NS,Close,Sell,352184
15-04-2020,GSPL.NS,Open,Buy,133543
15-04-2020,GSPL.NS,Close,Sell,133543
16-04-2020,NTPC.NS,Open,Buy,290593
16-04-2020,NTPC.NS,Close,Sell,290593
16-04-2020,NTPC.NS,Close,Buy,276063
17-04-2020,NTPC.NS,Open,Sell,276063
20-04-2020,YESBANK.NS,Open,Buy,1034699
20-04-2020,YESBANK.NS,Close,Sell,1034699
21-04-2020,LAURUSLABS.NS,Open,Buy,358270
21-04-2020,LAURUSLABS.NS,Close,Sell,358270
21-04-2020,RELIANCE.NS,Close,Buy,25313
22-04-2020,RELIANCE.NS,Open,Sell,25313
24-04-2020,LAURUSLABS.NS,Open,Buy,337387
24-04-2020,LAURUSLABS.NS,Close,Sell,337387
29-04-2020,SAIL.BO,Open,Buy,1147140
29-04-2020,SAIL.BO,Close,Sell,1147140
29-04-2020,TATAMOTORS.NS,Close,Buy,421132
30-04-2020,TATAMOTORS.NS,Open,Sell,421132
30-04-2020,TATAMOTORS.NS,Open,Buy,400075
30-04-2020,TATAMOTORS.NS,Close,Sell,400075
04-05-2020,BHARTIARTL.NS,Open,Buy,70537
04-05-2020,BHARTIARTL.NS,Close,Sell,70537
07-05-2020,JSWENERGY.BO,Open,Buy,981658
07-05-2020,JSWENERGY.BO,Close,Sell,981658
11-05-2020,TATAMOTORS.NS,Open,Buy,462566
11-05-2020,TATAMOTORS.NS,Close,Sell,462566
12-05-2020,NTPC.NS,Open,Buy,437406
12-05-2020,NTPC.NS,Close,Sell,437406
